Institution,2004-05,2005-06,2006-07,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23,2023-24,2024-25,2025-26
CMU,"$79,910,900.00 ","$80,061,900.00 ","$80,160,400.00 ","$81,941,100.00 ","$82,760,500.00 ","$82,436,000.00 ","$80,132,000.00 ","$68,108,900.00 ","$71,352,300.00 ","$73,540,100.00 ","$79,115,000.00 ","$81,127,100.00 ","$83,925,500.00 ","$85,697,200.00 ","$87,454,800.00 ","$89,227,800.00 ","$93,001,800.00 ","$90,440,500.00 ","$91,145,100.00 ","$95,413,800.00 ","$97,771,900.00 ","$102,351,100.00 "
EMU,"$77,295,800.00 ","$76,140,600.00 ","$76,289,500.00 ","$77,774,100.00 ","$78,551,800.00 ","$78,212,100.00 ","$76,026,200.00 ","$64,619,100.00 ","$66,466,700.00 ","$67,275,400.00 ","$71,771,100.00 ","$71,782,500.00 ","$73,593,800.00 ","$75,172,200.00 ","$76,984,300.00 ","$77,556,000.00 ","$80,585,600.00 ","$78,305,900.00 ","$79,152,400.00 ","$83,144,700.00 ","$85,208,400.00 ","$89,193,400.00 "
Ferris,"$48,968,800.00 ","$48,634,700.00 ","$48,496,700.00 ","$49,730,800.00 ","$50,228,100.00 ","$50,017,100.00 ","$48,619,200.00 ","$41,324,300.00 ","$44,250,700.00 ","$45,636,500.00 ","$49,087,000.00 ","$50,369,800.00 ","$52,259,900.00 ","$53,630,400.00 ","$54,989,300.00 ","$56,032,800.00 ","$58,092,700.00 ","$56,541,600.00 ","$56,952,900.00 ","$59,646,500.00 ","$61,137,700.00 ","$64,034,100.00 "
GVSU,"$57,904,100.00 ","$61,129,900.00 ","$62,603,400.00 ","$63,387,500.00 ","$64,021,400.00 ","$63,758,300.00 ","$61,976,400.00 ","$52,677,400.00 ","$55,436,000.00 ","$57,823,500.00 ","$63,136,000.00 ","$65,275,700.00 ","$68,227,900.00 ","$70,133,300.00 ","$72,086,500.00 ","$73,388,500.00 ","$76,327,300.00 ","$74,213,800.00 ","$81,253,800.00 ","$97,365,000.00 ","$99,837,200.00 ","$101,727,400.00 "
LSSU,"$12,685,000.00 ","$12,506,300.00 ","$12,532,200.00 ","$12,981,900.00 ","$13,111,700.00 ","$13,059,200.00 ","$12,694,200.00 ","$10,789,500.00 ","$12,046,100.00 ","$12,231,000.00 ","$12,782,500.00 ","$13,207,400.00 ","$13,567,400.00 ","$13,829,900.00 ","$14,039,600.00 ","$14,361,000.00 ","$14,778,000.00 ","$14,366,600.00 ","$14,361,900.00 ","$15,190,300.00 ","$15,981,300.00 ","$16,739,700.00 "
MSU,"$287,516,000.00 ","$283,730,300.00 ","$287,127,000.00 ","$290,139,800.00 ","$293,041,200.00 ","$291,841,700.00 ","$283,685,200.00 ","$241,120,800.00 ","$245,037,000.00 ","$249,597,800.00 ","$264,429,100.00 ","$268,770,700.00 ","$275,862,100.00 ","$281,248,600.00 ","$286,283,900.00 ","$288,799,400.00 ","$300,206,500.00 ","$292,137,800.00 ","$303,727,700.00 ","$318,709,200.00 ","$326,827,700.00 ","$333,766,200.00 "
MTU,"$48,723,000.00 ","$48,018,800.00 ","$48,131,900.00 ","$49,028,200.00 ","$49,518,500.00 ","$49,302,100.00 ","$47,924,200.00 ","$40,733,600.00 ","$42,579,100.00 ","$43,473,800.00 ","$45,923,100.00 ","$46,754,700.00 ","$48,097,500.00 ","$49,063,800.00 ","$49,968,800.00 ","$50,568,100.00 ","$52,760,500.00 ","$51,371,900.00 ","$51,951,000.00 ","$54,525,700.00 ","$55,781,900.00 ","$58,309,000.00 "
NMU,"$45,775,200.00 ","$45,051,600.00 ","$45,175,900.00 ","$46,171,500.00 ","$46,633,200.00 ","$46,438,200.00 ","$45,140,300.00 ","$38,367,400.00 ","$40,856,600.00 ","$41,741,400.00 ","$44,277,200.00 ","$45,107,700.00 ","$46,279,200.00 ","$47,172,300.00 ","$48,036,100.00 ","$48,909,100.00 ","$50,745,100.00 ","$49,338,700.00 ","$50,751,100.00 ","$53,320,000.00 ","$54,783,700.00 ","$57,289,300.00 "
OU,"$48,106,100.00 ","$50,685,700.00 ","$51,378,000.00 ","$51,932,900.00 ","$52,452,200.00 ","$52,220,800.00 ","$50,761,300.00 ","$43,145,000.00 ","$44,964,100.00 ","$45,651,600.00 ","$48,364,100.00 ","$48,371,900.00 ","$49,920,700.00 ","$51,243,200.00 ","$52,828,700.00 ","$53,432,500.00 ","$55,498,300.00 ","$54,012,900.00 ","$60,761,900.00 ","$72,288,800.00 ","$74,047,200.00 ","$75,574,300.00 "
SVSU,"$26,140,200.00 ","$27,499,800.00 ","$28,052,100.00 ","$28,356,200.00 ","$28,639,800.00 ","$28,517,700.00 ","$27,720,700.00 ","$23,561,500.00 ","$25,656,700.00 ","$25,991,000.00 ","$27,610,200.00 ","$28,181,200.00 ","$29,114,000.00 ","$29,779,000.00 ","$30,540,900.00 ","$30,807,700.00 ","$32,003,000.00 ","$31,043,500.00 ","$32,274,600.00 ","$33,894,500.00 ","$34,731,400.00 ","$35,415,000.00 "
UM A,"$320,662,000.00 ","$316,368,500.00 ","$320,156,000.00 ","$323,439,900.00 ","$326,674,300.00 ","$325,347,400.00 ","$316,254,500.00 ","$268,803,300.00 ","$274,156,700.00 ","$279,232,700.00 ","$295,174,100.00 ","$299,975,000.00 ","$308,639,000.00 ","$314,590,100.00 ","$320,784,800.00 ","$322,773,600.00 ","$335,560,600.00 ","$326,265,400.00 ","$339,198,000.00 ","$356,568,800.00 ","$365,681,400.00 ","$373,432,700.00 "
UM D,"$24,690,000.00 ","$24,739,200.00 ","$25,027,400.00 ","$25,295,000.00 ","$25,548,000.00 ","$25,437,100.00 ","$24,726,200.00 ","$21,016,300.00 ","$22,237,300.00 ","$22,510,400.00 ","$23,689,300.00 ","$24,033,100.00 ","$24,803,300.00 ","$25,434,500.00 ","$26,078,500.00 ","$26,327,200.00 ","$27,361,200.00 ","$26,593,700.00 ","$28,115,900.00 ","$31,233,500.00 ","$32,033,000.00 ","$32,662,700.00 "
UM F,"$21,228,000.00 ","$20,903,100.00 ","$21,151,100.00 ","$21,379,900.00 ","$21,593,700.00 ","$21,498,900.00 ","$20,898,000.00 ","$17,762,400.00 ","$19,526,600.00 ","$19,938,200.00 ","$21,337,700.00 ","$21,815,400.00 ","$22,549,300.00 ","$23,088,100.00 ","$23,604,400.00 ","$23,893,200.00 ","$24,890,800.00 ","$24,197,400.00 ","$25,159,200.00 ","$26,404,700.00 ","$26,955,700.00 ","$27,684,500.00 "
WSU,"$218,108,400.00 ","$214,666,300.00 ","$216,822,300.00 ","$219,046,500.00 ","$221,237,000.00 ","$220,329,200.00 ","$214,171,400.00 ","$182,036,900.00 ","$183,398,300.00 ","$183,398,300.00 ","$190,519,800.00 ","$191,451,300.00 ","$196,064,500.00 ","$199,171,500.00 ","$202,363,200.00 ","$203,413,900.00 ","$211,241,813.00 ","$205,496,400.00 ","$213,639,700.00 ","$224,559,537.00 ","$229,975,400.00 ","$234,673,800.00 "
WMU,"$110,847,100.00 ","$109,695,200.00 ","$110,085,100.00 ","$112,122,000.00 ","$113,243,200.00 ","$112,766,800.00 ","$109,615,100.00 ","$93,168,300.00 ","$95,487,500.00 ","$97,279,000.00 ","$102,742,000.00 ","$104,334,100.00 ","$107,440,900.00 ","$109,390,900.00 ","$111,165,700.00 ","$112,290,100.00 ","$116,738,400.00 ","$113,432,700.00 ","$114,351,900.00 ","$119,983,900.00 ","$123,039,800.00 ","$128,919,500.00 "
MI avg,"$95,237,373.33 ","$94,655,460.00 ","$95,545,933.33 ","$96,848,486.67 ","$97,816,973.33 ","$97,412,173.33 ","$94,689,660.00 ","$80,482,313.33 ","$82,896,780.00 ","$84,354,713.33 ","$89,330,546.67 ","$90,703,840.00 ","$93,356,333.33 ","$95,243,000.00 ","$97,147,300.00 ","$98,118,726.67 ","$101,986,107.53 ","$99,183,920.00 ","$102,853,140.00 ","$109,483,262.47 ","$112,252,913.33 ","$115,451,513.33 "