metric_id,metric_name,source,value_unit,period_type,source_file_family,source_formula_or_variable,definition_reference_year,definition_reference_file,definition_variable,official_definition
total_price_in_state_on_campus,Total price for in-state students living on campus,IPEDS,USD,academic_year,IC_AY,CHG2AY3 + CHG4AY3 + CHG5AY3 + CHG6AY3,2023,DRVIC2023_Dict.zip,CINSON,"Cost of attendance for full-time, first-time degree/certificate seeking in-state undergraduate students living on campus for academic year 2023-24. It includes in-state tuition and fees, books and supplies, on campus room and board, and other on campus expenses. cinson=chg2ay3+chg4ay3+chg5ay3+chg6ay3"
total_price_out_state_on_campus,Total price for out-of-state students living on campus,IPEDS,USD,academic_year,IC_AY,CHG3AY3 + CHG4AY3 + CHG5AY3 + CHG6AY3,2023,DRVIC2023_Dict.zip,COTSON,"Cost of attendance for full-time, first-time degree/certificate seeking out-of-state undergraduate students living on campus for academic year 2023-24. It includes in-out-of-state tuition and fees, books and supplies, on campus room and board, and other on campus expenses. cotson=chg3ay3+chg4ay3+chg5ay3+chg6ay3"
total_price_in_state_off_campus_not_family,Total price for in-state students living off campus (not with family),IPEDS,USD,academic_year,IC_AY,CHG2AY3 + CHG4AY3 + CHG7AY3 + CHG8AY3,2023,DRVIC2023_Dict.zip,CINSOFF,"Cost of attendance for full-time, first-time degree/certificate seeking in-state undergraduate students living off campus (not with family) for academic year 2023-24. It includes in-state tuition and fees, books and supplies, off campus (not with family) room and board, and other off campus (not with family) expenses. cinsoff=chg2ay3+chg4ay3+chg7ay3+chg8ay3"
total_price_out_state_off_campus_not_family,Total price for out-of-state students living off campus (not with family),IPEDS,USD,academic_year,IC_AY,CHG3AY3 + CHG4AY3 + CHG7AY3 + CHG8AY3,2023,DRVIC2023_Dict.zip,COTSOFF,"Cost of attendance for full-time, first-time degree/certificate seeking out-of-state undergraduate students living off campus (not with family) for academic year 2023-24. It includes out-of-state tuition and fees, books and supplies, off campus (not with family) room and board, and other off campus (not with family) expneses. cotsoff=chg3ay3+chg4ay3+chg7ay3+chg8ay3"
total_price_in_state_off_campus_family,Total price for in-state students living off campus (with family),IPEDS,USD,academic_year,IC_AY,CHG2AY3 + CHG4AY3 + CHG9AY3,2023,DRVIC2023_Dict.zip,CINSFAM,"Cost of attendance for full-time, first-time degree/certificate seeking in-state undergraduate students living off campus (with family) for academic year 2023-24. It includes in-state tuition and fees, books and supplies, and other off campus (with family)expenses. cinsfam=chg2ay3+chg4ay3+chg9ay3"
total_price_out_state_off_campus_family,Total price for out-of-state students living off campus (with family),IPEDS,USD,academic_year,IC_AY,CHG3AY3 + CHG4AY3 + CHG9AY3,2023,DRVIC2023_Dict.zip,COTSFAM,"Cost of attendance for full-time, first-time degree/certificate seeking out-of-state undergraduate students living off campus (with family) for academic year 2023-24. It includes out-of-state tuition and fees, books and supplies, and other off campus (with family)expenses. cotsfam=chg3ay3+chg4ay3+chg9ay3"
pct_ftft_awarded_federal_grant_aid,Percent of full-time first-time undergraduates awarded federal grant aid,IPEDS,Percent,academic_year,SFA,FGRNT_P,2023,SFA2223_Dict.zip,FGRNT_P,"Student Financial Aid and Student Counts - Financial Aid Percentage of full-time, first-time degree/certificate-seeking undergraduate students who were awarded federal grants (grants/educational assistance funds). Federal grants (grants/educational assistance funds) - Grants provided by federal agencies such as the U.S. Department of Education, including Title IV Pell Grants and Supplemental Educational Opportunity Grants (SEOG). Also includes need-based and merit-based educational assistance funds and training vouchers provided from other federal agencies and/or federally-sponsored educational benefits programs, including the Veteran's Administration, Department of Labor, and other federal agencies. Undergraduate - A student enrolled in a 4- or 5-year bachelor's degree program, an associate's degree program, or a vocational or technical program below the baccalaureate Full-time student (Undergraduate) — A student enrolled for 12 or more semester credits, or 12 or more quarter credits, or 24 or more clock hours a week each term. First-time student (undergraduate) - A student attending any institution for the first time at the undergraduate level. Includes students enrolled in academic or occupational programs . Also includes students enrolled in the fall term who attended college for the first time in the prior summer term, and students who entered with advanced standing (college credits earned before graduation from high school). Degree/certificate-seeking students - Students enrolled in courses for credit who are recognized by the institution as seeking a degree or other formal award. At the undergraduate level, this is intended to include students enrolled in vocational or occupational programs."
avg_ftft_federal_grant_aid,Average amount of federal grant aid awarded to full-time first-time undergraduates,IPEDS,USD,academic_year,SFA,FGRNT_A,2023,SFA2223_Dict.zip,FGRNT_A,"Student Financial Aid and Student Counts - Financial Aid Average amount of federal grants (grants/educational assistance funds) awarded to full-time, first-time degree/certificate-seeking undergraduate undergraduate students. Federal grants (grants/educational assistance funds) - Grants provided by federal agencies such as the U.S. Department of Education, including Title IV Pell Grants and Supplemental Educational Opportunity Grants (SEOG). Also includes need-based and merit-based educational assistance funds and training vouchers provided from other federal agencies and/or federally-sponsored educational benefits programs, including the Veteran's Administration, Department of Labor, and other federal agencies. Undergraduate - A student enrolled in a 4- or 5-year bachelor's degree program, an associate's degree program, or a vocational or technical program below the baccalaureate Full-time student (Undergraduate) — A student enrolled for 12 or more semester credits, or 12 or more quarter credits, or 24 or more clock hours a week each term. First-time student (undergraduate) - A student attending any institution for the first time at the undergraduate level. Includes students enrolled in academic or occupational programs . Also includes students enrolled in the fall term who attended college for the first time in the prior summer term, and students who entered with advanced standing (college credits earned before graduation from high school). Degree/certificate-seeking students - Students enrolled in courses for credit who are recognized by the institution as seeking a degree or other formal award. At the undergraduate level, this is intended to include students enrolled in vocational or occupational programs."
pct_ftft_awarded_pell_grants,Percent of full-time first-time undergraduates awarded Pell grants,IPEDS,Percent,academic_year,SFA,PGRNT_P,2023,SFA2223_Dict.zip,PGRNT_P,"Percentage of full-time, first-time degree/certificate-seeking undergraduate students who were awarded Pell grants. Pell Grant program (Higher Education Act of 1965, Title IV, Part A, Subpart I, as amended.) Provides grant assistance to eligible undergraduate postsecondary students with demonstrated financial need to help meet education expenses. Undergraduate - A student enrolled in a 4- or 5-year bachelor's degree program, an associate's degree program, or a vocational or technical program below the baccalaureate Full-time student (Undergraduate) — A student enrolled for 12 or more semester credits, or 12 or more quarter credits, or 24 or more clock hours a week each term. First-time student (undergraduate) - A student attending any institution for the first time at the undergraduate level. Includes students enrolled in academic or occupational programs . Also includes students enrolled in the fall term who attended college for the first time in the prior summer term, and students who entered with advanced standing (college credits earned before graduation from high school). Degree/certificate-seeking students - Students enrolled in courses for credit who are recognized by the institution as seeking a degree or other formal award. At the undergraduate level, this is intended to include students enrolled in vocational or occupational programs."
avg_ftft_pell_grant_aid,Average amount of Pell grant aid awarded to full-time first-time undergraduates,IPEDS,USD,academic_year,SFA,PGRNT_A,2023,SFA2223_Dict.zip,PGRNT_A,"Average amount of Pell grant aid awarded to full-time, first-time degree/certificate-seeking undergraduate students. Pell Grant program (Higher Education Act of 1965, Title IV, Part A, Subpart I, as amended.) Provides grant assistance to eligible undergraduate postsecondary students with demonstrated financial need to help meet education expenses. Undergraduate - A student enrolled in a 4- or 5-year bachelor's degree program, an associate's degree program, or a vocational or technical program below the baccalaureate Full-time student (Undergraduate) — A student enrolled for 12 or more semester credits, or 12 or more quarter credits, or 24 or more clock hours a week each term. First-time student (undergraduate) - A student attending any institution for the first time at the undergraduate level. Includes students enrolled in academic or occupational programs . Also includes students enrolled in the fall term who attended college for the first time in the prior summer term, and students who entered with advanced standing (college credits earned before graduation from high school). Degree/certificate-seeking students - Students enrolled in courses for credit who are recognized by the institution as seeking a degree or other formal award. At the undergraduate level, this is intended to include students enrolled in vocational or occupational programs."
pct_ftft_awarded_institutional_grant_aid,Percent of full-time first-time undergraduates awarded  institutional grant aid,IPEDS,Percent,academic_year,SFA,IGRNT_P,2023,SFA2223_Dict.zip,IGRNT_P,"Student Financial Aid and Student Counts - Financial Aid Percentage of full-time, first-time degree/certificate-seeking undergraduate students who were awarded institutional grants (scholarships/fellowships). Institutional grants - Scholarships and fellowships granted and funded by the institution and/or individual departments within the institution, (i.e., instruction, research, public service) that may contribute indirectly to the enhancement of these programs . Includes scholarships targeted to certain individuals (e.g., based on state of residence, major field of study, athletic team participation) for which the institution designates the recipient. Undergraduate - A student enrolled in a 4- or 5-year bachelor's degree program, an associate's degree program, or a vocational or technical program below the baccalaureate Full-time student (Undergraduate) — A student enrolled for 12 or more semester credits, or 12 or more quarter credits, or 24 or more clock hours a week each term. First-time student (undergraduate) - A student attending any institution for the first time at the undergraduate level. Includes students enrolled in academic or occupational programs . Also includes students enrolled in the fall term who attended college for the first time in the prior summer term, and students who entered with advanced standing (college credits earned before graduation from high school). Degree/certificate-seeking students - Students enrolled in courses for credit who are recognized by the institution as seeking a degree or other formal award. At the undergraduate level, this is intended to include students enrolled in vocational or occupational programs."
avg_ftft_institutional_grant_aid,Average amount of institutional grant aid awarded to full-time first-time undergraduates,IPEDS,USD,academic_year,SFA,IGRNT_A,2023,SFA2223_Dict.zip,IGRNT_A,"Student Financial Aid and Student Counts - Financial Aid Average amount of institutional grants (scholarships/fellowships) awarded to full-time, first-time degree/certificate-seeking undergraduate students. Institutional grants - Scholarships and fellowships granted and funded by the institution and/or individual departments within the institution, (i.e., instruction, research, public service) that may contribute indirectly to the enhancement of these programs . Includes scholarships targeted to certain individuals (e.g., based on state of residence, major field of study, athletic team participation) for which the institution designates the recipient. Undergraduate - A student enrolled in a 4- or 5-year bachelor's degree program, an associate's degree program, or a vocational or technical program below the baccalaureate Full-time student (Undergraduate) — A student enrolled for 12 or more semester credits, or 12 or more quarter credits, or 24 or more clock hours a week each term. First-time student (undergraduate) - A student attending any institution for the first time at the undergraduate level. Includes students enrolled in academic or occupational programs . Also includes students enrolled in the fall term who attended college for the first time in the prior summer term, and students who entered with advanced standing (college credits earned before graduation from high school). Degree/certificate-seeking students - Students enrolled in courses for credit who are recognized by the institution as seeking a degree or other formal award. At the undergraduate level, this is intended to include students enrolled in vocational or occupational programs."
pct_ftft_awarded_student_loans,Percent of full-time first-time undergraduates awarded student loans,IPEDS,Percent,academic_year,SFA,LOAN_P,2023,SFA2223_Dict.zip,LOAN_P,"Student Financial Aid and Student Counts - Financial Aid Percentage of full-time, first-time degree/certificate-seeking undergraduate students who were awarded student loans. Loans to students - Any monies that must be repaid to the lending institution for which the student is the designated borrower. Includes all Title IV subsidized and unsubsidized loans and all institutionally- and privately-sponsored loans. Does not include PLUS and other loans made directly to parents. Undergraduate - A student enrolled in a 4- or 5-year bachelor's degree program, an associate's degree program, or a vocational or technical program below the baccalaureate Full-time student (Undergraduate) — A student enrolled for 12 or more semester credits, or 12 or more quarter credits, or 24 or more clock hours a week each term. First-time student (undergraduate) - A student attending any institution for the first time at the undergraduate level. Includes students enrolled in academic or occupational programs . Also includes students enrolled in the fall term who attended college for the first time in the prior summer term, and students who entered with advanced standing (college credits earned before graduation from high school). Degree/certificate-seeking students - Students enrolled in courses for credit who are recognized by the institution as seeking a degree or other formal award. At the undergraduate level, this is intended to include students enrolled in vocational or occupational programs."
avg_ftft_student_loans,Average amount of student loans awarded to full-time first-time undergraduates,IPEDS,USD,academic_year,SFA,LOAN_A,2023,SFA2223_Dict.zip,LOAN_A,"Student Financial Aid and Student Counts - Financial Aid Average amount of student loans awarded to full-time, first-time degree/certificate-seeking undergraduate students. Loans to students - Any monies that must be repaid to the lending institution for which the student is the designated borrower. Includes all Title IV subsidized and unsubsidized loans and all institutionally- and privately-sponsored loans. Does not include PLUS and other loans made directly to parents. Undergraduate - A student enrolled in a 4- or 5-year bachelor's degree program, an associate's degree program, or a vocational or technical program below the baccalaureate Full-time student (Undergraduate) — A student enrolled for 12 or more semester credits, or 12 or more quarter credits, or 24 or more clock hours a week each term. First-time student (undergraduate) - A student attending any institution for the first time at the undergraduate level. Includes students enrolled in academic or occupational programs . Also includes students enrolled in the fall term who attended college for the first time in the prior summer term, and students who entered with advanced standing (college credits earned before graduation from high school). Degree/certificate-seeking students - Students enrolled in courses for credit who are recognized by the institution as seeking a degree or other formal award. At the undergraduate level, this is intended to include students enrolled in vocational or occupational programs."
pct_ftft_awarded_federal_student_loans,Percent of full-time first-time undergraduates awarded federal student loans,IPEDS,Percent,academic_year,SFA,FLOAN_P,2023,SFA2223_Dict.zip,FLOAN_P,"Percentage of full-time, first-time degree/certificate-seeking undergraduate students who were awarded federal student loans. Loans to students - Any monies that must be repaid to the lending institution for which the student is the designated borrower. Includes all Title IV subsidized and unsubsidized loans. Does not include PLUS and other loans made directly to parents. Undergraduate - A student enrolled in a 4- or 5-year bachelor's degree program, an associate's degree program, or a vocational or technical program below the baccalaureate Full-time student (Undergraduate) — A student enrolled for 12 or more semester credits, or 12 or more quarter credits, or 24 or more clock hours a week each term. First-time student (undergraduate) - A student attending any institution for the first time at the undergraduate level. Includes students enrolled in academic or occupational programs . Also includes students enrolled in the fall term who attended college for the first time in the prior summer term, and students who entered with advanced standing (college credits earned before graduation from high school). Degree/certificate-seeking students - Students enrolled in courses for credit who are recognized by the institution as seeking a degree or other formal award. At the undergraduate level, this is intended to include students enrolled in vocational or occupational programs."
avg_ftft_federal_student_loans,Average amount of federal student loans awarded to full-time first-time undergraduates,IPEDS,USD,academic_year,SFA,FLOAN_A,2023,SFA2223_Dict.zip,FLOAN_A,"Average amount of federal student loans awarded to full-time, first-time degree/certificate-seeking undergraduate students. Loans to students - Any monies that must be repaid to the lending institution for which the student is the designated borrower. Includes all Title IV subsidized and unsubsidized loans. Does not include PLUS and other loans made directly to parents. Undergraduate - A student enrolled in a 4- or 5-year bachelor's degree program, an associate's degree program, or a vocational or technical program below the baccalaureate Full-time student (Undergraduate) — A student enrolled for 12 or more semester credits, or 12 or more quarter credits, or 24 or more clock hours a week each term. First-time student (undergraduate) - A student attending any institution for the first time at the undergraduate level. Includes students enrolled in academic or occupational programs . Also includes students enrolled in the fall term who attended college for the first time in the prior summer term, and students who entered with advanced standing (college credits earned before graduation from high school). Degree/certificate-seeking students - Students enrolled in courses for credit who are recognized by the institution as seeking a degree or other formal award. At the undergraduate level, this is intended to include students enrolled in vocational or occupational programs."
percent_admitted_total,Percent admitted - total,IPEDS,Percent,fall,ADM,round_half_up(ADMSSN / APPLCN * 100),2023,DRVADM2023_Dict.zip,DVADM01,Percent admitted - total If number of total applicants (APPLCN) > 0 then Percent admitted total (DVADM01) = number of admissions-total(ADMSSN) divided by the total applicants(APPCLN) Ratios are converted to percentages and rounded to the nearest whole number.
percent_admitted_men,Percent admitted - men,IPEDS,Percent,fall,ADM,round_half_up(ADMSSNM / APPLCNM * 100),2023,DRVADM2023_Dict.zip,DVADM02,Percent admitted - men If number of applicants-men (APPLCNM) > 0 then Percent admitted-men (DVADM02) = number of admissions-Men(ADMSSNM) divided by the applicants-men(APPCLNM) Ratios are converted to percentages and rounded to the nearest whole number.
percent_admitted_women,Percent admitted - women,IPEDS,Percent,fall,ADM,round_half_up(ADMSSNW / APPLCNW * 100),2023,DRVADM2023_Dict.zip,DVADM03,Percent admitted - women If number of applicants-women (APPLCNW) > 0 then Percent admitted-women (DVADM03) = number of admissions-women(ADMSSNW) divided by the applicants-women(APPCLNW) Ratios are converted to percentages and rounded to the nearest whole number.
full_time_retention_rate,Full-time retention rate,IPEDS,Percent,fall,EFD,RET_PCF,2023,DRVEF2023_Dict.zip,RET_PCF,The full-time retention rate is the percent of the (fall full-time cohort from the prior year minus exclusions from the fall full-time cohort) that re-enrolled at the institution as either full- or part-time in the current year
pct_first_time_undergrads_in_state,Percent of first-time undergraduates - in-state,IPEDS,Percent,fall,EFC,round_half_up(in_state_first_time / total_first_time * 100),2023,DRVEF2023_Dict.zip,RMINSTTP,"Percent of first-time degree/certificate seeking undergraduate students who reside in the same state of the institution. This is derived as follows In-state enollment = EFRES01 if state of residence EFCSTATE.EF2012C=HD2012.FIPS Percent of first-time undergraduates - in-state = in-state enrollment divided by total enrollment of first-time degree/seeking undergraduates (EFRES01.EFCSTATE=99) * 100 First-time student (undergraduate degree/certificate seeking) A student who has no prior postsecondary experience (except as noted below) attending any institution for the first time at the undergraduate level. This includes students enrolled in academic or occupational programs. It also includes students enrolled in the fall term who attended college for the first time in the prior summer term, and students who entered with advanced standing (college credits earned before graduation from high school). Student is enrolled in courses for credit and recognized by the institution as seeking a degree, certificate, or other formal award. High school students also enrolled in postsecondary courses for credit are not considered degree/certificate-seeking. State of residence - the state identified by the student as his/her permanent address at the time of application to the institution. This may be the legal residence of a parent or guardian, or the state in which a student has a driver's license or is registered to vote. It is not necessarily the state in which the student's high school is located."
pct_first_time_undergrads_out_state,Percent of first-time undergraduates - out-of-state,IPEDS,Percent,fall,EFC,round_half_up(out_state_first_time / total_first_time * 100),2023,DRVEF2023_Dict.zip,RMOUSTTP,"Percent of first-time degree/certificate seeking undergraduate students who reside from a different state than that of the institution. This is derived as follows Out-of-state enollment = EFRES01 if state of residence EFCSTATE.EF2012C not equal HD2012.FIPS and state of residence is not unknown (EFCSTATE not (57,98) and state of residence is not a foreign country EFCSTATE=90) Percent of first-time undergraduates - out-of-state = out-ofn-state enrollment divided by total enrollment of first-time degree/seeking undergraduates (EFRES01.EFCSTATE=99) * 100 First-time student (undergraduate degree/certificate seeking) A student who has no prior postsecondary experience (except as noted below) attending any institution for the first time at the undergraduate level. This includes students enrolled in academic or occupational programs. It also includes students enrolled in the fall term who attended college for the first time in the prior summer term, and students who entered with advanced standing (college credits earned before graduation from high school). Student is enrolled in courses for credit and recognized by the institution as seeking a degree, certificate, or other formal award. High school students also enrolled in postsecondary courses for credit are not considered degree/certificate-seeking. State of residence - the state identified by the student as his/her permanent address at the time of application to the institution. This may be the legal residence of a parent or guardian, or the state in which a student has a driver's license or is registered to vote. It is not necessarily the state in which the student's high school is located."
pct_first_time_undergrads_foreign,Percent of first-time undergraduates - foreign countries,IPEDS,Percent,fall,EFC,round_half_up(foreign_first_time / total_first_time * 100),2023,DRVEF2023_Dict.zip,RMFRGNCP,"Percent of first-time degree/certificate seeking undergraduate students who reside from foreign countries This is derived as follows Percent of first-time undergraduates - foreign countries = EFRES01.EFCSTATE=90 divided by total enrollment of first-time degree/seeking undergraduates (EFRES01.EFCSTATE=99) * 100 First-time student (undergraduate degree/certificate seeking) A student who has no prior postsecondary experience (except as noted below) attending any institution for the first time at the undergraduate level. This includes students enrolled in academic or occupational programs. It also includes students enrolled in the fall term who attended college for the first time in the prior summer term, and students who entered with advanced standing (college credits earned before graduation from high school). Student is enrolled in courses for credit and recognized by the institution as seeking a degree, certificate, or other formal award. High school students also enrolled in postsecondary courses for credit are not considered degree/certificate-seeking. State of residence - the state identified by the student as his/her permanent address at the time of application to the institution. This may be the legal residence of a parent or guardian, or the state in which a student has a driver's license or is registered to vote. It is not necessarily the state in which the student's high school is located."
pct_students_exclusively_distance_ed,Percent of students enrolled exclusively in distance education courses,IPEDS,Percent,fall,EFDIST,round_half_up(EFDEEXC / EFDETOT * 100),2023,DRVEF2023_Dict.zip,PCTDEEXC,"Percent of students who are enrolled only in courses that are considered distance education courses. Derived: Students enrolled exclusively in distance education (EFDEEXC,EFDELEV=1) divided by all students enrolled (EFDETOT,EFDELEV=1) NOTE: Includes only students enrolled for credit as of the institution's official fall reporting date or October 15. Distance education course - A course in which the instructional content is delivered exclusively via distance education. Requirements for coming to campus for orientation, testing, or academic support services do not exclude a course from being classified as distance education. Distance education - Education that uses one or more technologies to deliver instruction to students who are separated from the instructor and to support regular and substantive interaction between the students and the instructor synchronously or asynchronously. Technologies used for instruction may include the following: Internet; one-way and two-way transmissions through open broadcasts, closed circuit, cable, microwave, broadband lines, fiber optics, satellite or wireless communication devices; audio conferencing; and video cassette, DVDs, and CD-ROMs, if the cassette, DVDs, and CD-ROMs are used in a course in conjunction with the technologies listed above."
pct_students_some_distance_ed,Percent of students enrolled in some but not all distance education courses,IPEDS,Percent,fall,EFDIST,round_half_up(EFDESOM / EFDETOT * 100),2023,DRVEF2023_Dict.zip,PCTDESOM,"Percent of students who are enrolled in at least one course that is considered a distance education course, but are not enrolled exclusively in distance education courses. Derived: Students enrolled in some distance education (EFDESOM,EFDELEV=1) divided by all students enrolled (EFDETOT,EFDELEV=1) NOTE: Includes only students enrolled for credit as of the institution's official fall reporting date or October 15. Distance education course - A course in which the instructional content is delivered exclusively via distance education. Requirements for coming to campus for orientation, testing, or academic support services do not exclude a course from being classified as distance education. Distance education - Education that uses one or more technologies to deliver instruction to students who are separated from the instructor and to support regular and substantive interaction between the students and the instructor synchronously or asynchronously. Technologies used for instruction may include the following: Internet; one-way and two-way transmissions through open broadcasts, closed circuit, cable, microwave, broadband lines, fiber optics, satellite or wireless communication devices; audio conferencing; and video cassette, DVDs, and CD-ROMs, if the cassette, DVDs, and CD-ROMs are used in a course in conjunction with the technologies listed above."
pct_students_no_distance_ed,Percent of students not enrolled in any distance education courses,IPEDS,Percent,fall,EFDIST,round_half_up(EFDENON / EFDETOT * 100),2023,DRVEF2023_Dict.zip,PCTDENON,"Percent of students who are not enrolled in any distance education courses. Derived: Students not enrolled in any distance education (EFDENON,EFDELEV=1) divided by all students enrolled (EFDETOT,EFDELEV=1) NOTE: Includes only students enrolled for credit as of the institution's official fall reporting date or October 15. Distance education course - A course in which the instructional content is delivered exclusively via distance education. Requirements for coming to campus for orientation, testing, or academic support services do not exclude a course from being classified as distance education. Distance education - Education that uses one or more technologies to deliver instruction to students who are separated from the instructor and to support regular and substantive interaction between the students and the instructor synchronously or asynchronously. Technologies used for instruction may include the following: Internet; one-way and two-way transmissions through open broadcasts, closed circuit, cable, microwave, broadband lines, fiber optics, satellite or wireless communication devices; audio conferencing; and video cassette, DVDs, and CD-ROMs, if the cassette, DVDs, and CD-ROMs are used in a course in conjunction with the technologies listed above."
grad_rate_bachelors_within_4_years_total,"Graduation rate - Bachelor degree within 4 years, total",IPEDS,Percent,graduation_release_year,GR,round_half_up(GRTOTLT[GRTYPE=13] / GRTOTLT[GRTYPE=8] * 100),2023,DRVGR2023_Dict.zip,GBA4RTT,"4-year graduation rate of the subcohort of full-time, first-time students seeking a bachelor's or equivalent degree - 2017 Bachelors subcohort (4-year institutions) This rate is calculated as the total number of students completing a bachelor degree or equivalent within 4-years (100% of normal time) divided by the revised bachelor subcohort minus any allowable exclusions. The adjusted bachelor subcohort is defined by the variable GRTOTLT when GRTYPE=8 and the total students completing a bachelor's degree or equivalent within 4-years is GRTOTLT when GRTYPE=13(Table gr2023). BACHELOR'S OR EQUIVALENT DEGREE-SEEKING SUBCOHORT - In the GRS component of IPEDS, a cohort of students who were seeking a bachelor's or equivalent degree upon entry. Normal time to completion - The amount of time necessary for a student to complete all requirements for a degree or certificate according to the institution's catalog. This is typically 4 years (8 semesters or trimesters, or 12 quarters, excluding summer terms) for a bachelor's degree in a standard term-based institution Allowable exclusions - Those students who may be removed (deleted) from the GRS cohort according to the Student Right-to-Know legislation. These include students who died or were totally and permanently disabled; those who left school to serve in the armed forces; those who left to serve with a foreign aid service of the federal government, such as the Peace Corps; and those who left to serve on official church mission."
grad_rate_bachelors_within_5_years_total,"Graduation rate - Bachelor degree within 5 years, total",IPEDS,Percent,graduation_release_year,GR,round_half_up((GRTOTLT[GRTYPE=13] + GRTOTLT[GRTYPE=14]) / GRTOTLT[GRTYPE=8] * 100),2023,DRVGR2023_Dict.zip,GBA5RTT,"5-year graduation rate of the subcohort of full-time, first-time students seeking a bachelor's or equivalent degree - 2017 Bachelors subcohort (4-year institutions) This rate is calculated as the total number of students completing a bachelor degree or equivalent within 5-years (125% of normal time) divided by the revised bachelor subcohort minus any allowable exclusions. The adjusted bachelor subcohort is defined by the variable GRTOTLT when GRTYPE=8 and the total students completing a bachelor's degree or equivalent within 5-years is the sum of completers within 4-years (GRTOTLT,GRTYPE=13)and the number of completers in 5-years (GRTOTLT,GRTYPE=14)(Table gr2023). BACHELOR'S OR EQUIVALENT DEGREE-SEEKING SUBCOHORT - In the GRS component of IPEDS, a cohort of students who were seeking a bachelor's or equivalent degree upon entry. Normal time to completion - The amount of time necessary for a student to complete all requirements for a degree or certificate according to the institution's catalog. This is typically 4 years (8 semesters or trimesters, or 12 quarters, excluding summer terms) for a bachelor's degree in a standard term-based institution Allowable exclusions - Those students who may be removed (deleted) from the GRS cohort according to the Student Right-to-Know legislation. These include students who died or were totally and permanently disabled; those who left school to serve in the armed forces; those who left to serve with a foreign aid service of the federal government, such as the Peace Corps; and those who left to serve on official church mission."
grad_rate_bachelors_within_6_years_total,"Graduation rate - Bachelor degree within 6 years, total",IPEDS,Percent,graduation_release_year,GR,round_half_up(GRTOTLT[GRTYPE=12] / GRTOTLT[GRTYPE=8] * 100),2023,DRVGR2023_Dict.zip,GBA6RTT,"6-year graduation rate of the subcohort of full-time, first-time students seeking a bachelor's or equivalent degree - 2017 Bachelors subcohort (4-year institutions) This rate is calculated as the total number of students completing a bachelor degree or equivalent within 6-years (150% of normal time) divided by the revised bachelor subcohort minus any allowable exclusions. The adjusted bachelor subcohort is defined by the variable GRTOTLT when GRTYPE=8 and the total students completing a bachelor's degree or equivalent within 6-years (150% of normal time) is GRTOTLT when GRTYPE=12(Table gr2023). BACHELOR'S OR EQUIVALENT DEGREE-SEEKING SUBCOHORT - In the GRS component of IPEDS, a cohort of students who were seeking a bachelor's or equivalent degree upon entry. Normal time to completion - The amount of time necessary for a student to complete all requirements for a degree or certificate according to the institution's catalog. This is typically 4 years (8 semesters or trimesters, or 12 quarters, excluding summer terms) for a bachelor's degree in a standard term-based institution Allowable exclusions - Those students who may be removed (deleted) from the GRS cohort according to the Student Right-to-Know legislation. These include students who died or were totally and permanently disabled; those who left school to serve in the armed forces; those who left to serve with a foreign aid service of the federal government, such as the Peace Corps; and those who left to serve on official church mission."
pell_grant_recipients_overall_grad_rate_150pct,Pell Grant recipients - Overall graduation rate within 150 percent of normal time,IPEDS,Percent,graduation_release_year,GR_PELL_SSL,round_half_up(PGCMTOT / PGADJCT * 100) where PSGRTYPE=1,2023,DRVGR2023_Dict.zip,PGGRRTT,"Overall graduation rate within 150 percent of normal time of the full-time, first-time Pell grant recipient cohort. This variable is generated by dividing the number of full-time, first-time Pell grant recipients who completed a degree/certificate divided by the adjusted cohort of full-time-first-time Pell grant recipients. 4-year institutions: Full-time, first-time Pell grant recipients who completed a degree/certificate (PSGRTYPE=1.PGCMTOT) divided by the adjusted cohort of full-time, first-time Pell grants recipients (PSGRTYPE=1.PGADJCT) and multiplying by 100 (Table gr2023_PELL_SSL) 2-year and less-than-2-year institutions institutions: Full-time, first-time Pell grant recipients who completed a degree/certificate (PSGRTYPE=4.PGCMTOT) divided by the adjusted cohort of full-time, first-time Pell grants recipients (PSGRTYPE=4.PGADJCT) and multiplying by 100. (Table gr2023_PELL_SSL)"
